H	3	1024	"2023-10-20 14:42:32"	320	0.64
C	-7.382846	1.962241	0.000000	"keV"
1004	1
1005	1
1006	0
1007	0
1008	0
1009	0
1010	1
1011	2
1012	2
1013	1
1014	1
1015	0
1016	0
1017	2
1018	2
1019	1
1020	0
1021	0
1022	0
1023	0
